user_id,month,actual_future_silence,risk_score,prediction
U-4FAB12,2024-07,1,0.511208,1
U-4FAB12,2025-04,0,0.51299,1
U-4FAB12,2025-07,1,0.512881,1
U-8ED1D6,2024-12,0,0.769982,1
U-8ED1D6,2025-01,0,0.575071,1
U-8ED1D6,2025-02,1,0.503606,1
U-B140FC,2024-09,1,0.751299,1
U-ED5BDA,2024-04,0,0.218421,0
U-ED5BDA,2024-05,1,0.405578,0
U-67E65F,2025-07,1,0.751299,1
U-75660C,2025-06,1,0.772572,1
U-45AB78,2025-06,0,0.684159,1
U-45AB78,2025-08,1,0.52517,1
U-F519FD,2024-06,1,0.615865,1
U-F1A413,2024-07,1,0.616274,1
U-3319E2,2024-11,1,0.53913,1
U-FB4564,2025-07,1,0.719132,1
U-FE1EAD,2024-08,1,0.43944,0
U-F35376,2024-10,1,0.719132,1
U-A3A0BD,2024-01,0,0.171501,0
U-A3A0BD,2024-02,0,0.419917,0
U-A3A0BD,2024-03,0,0.608612,1
U-A3A0BD,2024-04,0,0.307873,0
U-A3A0BD,2024-05,1,0.435787,0
U-53C719,2024-03,1,0.563272,1
U-22E4DA,2024-03,1,0.682805,1
U-AB76CC,2025-08,1,0.719132,1
U-3C5796,2025-11,1,0.751299,1
U-B8E2B0,2024-03,1,0.751299,1
U-E85B4C,2024-11,1,0.693937,1
U-CA7099,2024-07,1,0.84929,1
U-73FE3D,2025-05,0,0.663407,1
U-73FE3D,2025-08,1,0.565254,1
U-E64FCD,2024-05,0,0.301627,0
U-E64FCD,2024-06,0,0.489253,0
U-E64FCD,2024-07,0,0.237394,0
U-E64FCD,2024-08,1,0.260179,0
U-E64FCD,2025-02,1,0.194041,0
U-E64FCD,2025-06,1,0.253613,0
U-677B1D,2024-10,1,0.868021,1
U-A2F8C4,2024-10,0,0.639723,1
U-A2F8C4,2024-11,0,0.614956,1
U-A2F8C4,2024-12,1,0.4662,0
U-4BA37C,2024-01,0,0.599177,1
U-4BA37C,2024-04,0,0.482702,0
U-4BA37C,2024-05,0,0.327922,0
U-4BA37C,2024-06,0,0.291097,0
U-4BA37C,2024-07,0,0.1889,0
U-4BA37C,2024-09,0,0.389401,0
U-4BA37C,2024-10,0,0.301002,0
U-4BA37C,2024-11,0,0.251944,0
U-4BA37C,2024-12,0,0.332333,0
U-4BA37C,2025-01,1,0.264356,0
U-4BA37C,2025-08,1,0.508897,1
U-3DB632,2024-01,1,0.666302,1
U-7834A2,2024-01,0,0.600008,1
U-7834A2,2024-02,1,0.730929,1
U-7834A2,2024-07,1,0.469722,0
U-7834A2,2025-01,1,0.60594,1
U-7834A2,2025-05,1,0.611022,1
U-5DAE74,2024-05,1,0.702011,1
U-27AB4A,2025-06,0,0.719132,1
U-27AB4A,2025-07,0,0.541368,1
U-27AB4A,2025-08,0,0.322591,0
U-27AB4A,2025-11,0,0.572239,1
U-A9E58E,2024-05,0,0.788167,1
U-A9E58E,2024-08,1,0.636536,1
U-DE3F2E,2024-10,1,0.323048,0
U-0ABE88,2024-01,0,0.258356,0
U-0ABE88,2024-02,0,0.412226,0
U-0ABE88,2024-03,1,0.558807,1
U-0ABE88,2025-03,1,0.533673,1
U-9C7A2B,2024-01,1,0.391297,0
U-CE499F,2024-03,1,0.541133,1
U-81D152,2024-01,0,0.488582,0
U-81D152,2024-02,0,0.209348,0
U-81D152,2024-03,0,0.234236,0
U-81D152,2024-04,0,0.330676,0
U-81D152,2024-06,0,0.330771,0
U-81D152,2024-08,0,0.43015,0
U-81D152,2024-09,0,0.419196,0
U-81D152,2024-11,0,0.261461,0
U-81D152,2024-12,1,0.530835,1
U-C3B0CF,2024-12,1,0.53265,1
U-44BB6F,2024-08,1,0.621909,1
U-259CAA,2024-04,1,0.645018,1
U-5121C5,2024-10,1,0.725963,1
U-B71405,2024-01,0,0.092142,0
U-B71405,2024-02,0,0.403127,0
U-B71405,2024-04,0,0.074035,0
U-B71405,2024-05,0,0.155574,0
U-B71405,2024-07,0,0.296668,0
U-B71405,2024-08,0,0.097863,0
U-B71405,2024-09,0,0.169267,0
U-B71405,2024-12,0,0.141659,0
U-B71405,2025-01,0,0.36198,0
U-B71405,2025-02,0,0.289076,0
U-B71405,2025-03,0,0.208167,0
U-B71405,2025-04,0,0.440032,0
U-B71405,2025-07,0,0.136529,0
U-B71405,2025-08,0,0.084917,0
U-B71405,2025-09,0,0.070202,0
U-B71405,2025-10,0,0.082499,0
U-B71405,2025-11,0,0.054127,0
U-B71405,2025-12,0,0.0961,0
U-588CFF,2024-11,1,0.832177,1
U-109593,2025-02,1,0.719132,1
U-580DA6,2024-01,1,0.648448,1
U-983C50,2024-01,0,0.800318,1
U-983C50,2024-02,0,0.435073,0
U-983C50,2024-03,0,0.329964,0
U-983C50,2024-04,0,0.093237,0
U-983C50,2024-05,0,0.527976,1
U-983C50,2024-06,0,0.410728,0
U-983C50,2024-08,1,0.455682,0
U-983C50,2024-12,1,0.37234,0
U-78E4E5,2025-10,1,0.553322,1
U-33D93C,2024-01,0,0.661629,1
U-33D93C,2024-04,1,0.69548,1
U-850ED0,2024-11,0,0.298012,0
U-850ED0,2024-12,1,0.521394,1
U-9B0590,2024-04,1,0.782485,1
U-BEBC54,2024-01,1,0.34081,0
U-29930A,2024-02,0,0.577978,1
U-29930A,2024-03,1,0.735731,1
U-29930A,2025-05,1,0.774025,1
U-9FE1B4,2025-07,1,0.751299,1
U-642271,2024-01,1,0.251897,0
